date,symbol,open,high,low,close,volume
2025-07-01,360ONE,1191.9377793442286,1202.2851766774702,1164.079467306133,1169.5516357421875,1117721.0
2025-07-01,3MINDIA,28121.929588448176,28269.39644523081,28082.60509330614,28205.494140625,1832.0
2025-07-01,AADHARHFC,455.1499938964844,468.0,452.95001220703125,463.8999938964844,662172.0
2025-07-01,AARTIIND,478.1752205816898,484.45845757379556,475.13331185024487,483.16192626953125,1085379.0
2025-07-01,AAVAS,2093.10009765625,2125.0,2026.0,2033.5,571338.0
2025-07-01,ABB,6102.828601586137,6132.771337385889,5910.197001274398,5938.1435546875,365605.0
2025-07-01,ABBOTINDIA,35184.95839362018,35308.24135926006,33981.71664897501,34188.83203125,15146.0
2025-07-01,ABCAPITAL,278.5,282.6499938964844,276.3999938964844,280.79998779296875,6939075.0
2025-07-01,ABFRL,75.19999694824219,75.29000091552734,73.75,74.51000213623047,12748619.0
2025-07-01,ABLBL,159.14999389648438,159.89999389648438,155.5,155.97999572753906,3981820.0
2025-07-01,ABREL,2433.617088826508,2458.294903942726,2397.8491239433215,2408.7392578125,62710.0
2025-07-01,ABSLAMC,779.9674510435264,785.8556384829719,758.8964330215182,769.4562377929688,332836.0
2025-07-01,ACC,1928.9000244140625,1937.0,1906.9000244140625,1921.4000244140625,338750.0
2025-07-01,ACE,1216.0061108432594,1225.1866011656282,1198.8427708217325,1203.133544921875,154834.0
2025-07-01,ACMESOLAR,250.25,250.8300018310547,247.0399932861328,248.74000549316406,420995.0
2025-07-01,ADANIENSOL,884.0,892.2999877929688,871.0,872.4000244140625,1874380.0
2025-07-01,ADANIENT,2624.89990234375,2645.0,2603.0,2621.800048828125,729197.0
2025-07-01,ADANIGREEN,1030.0,1038.0,1007.2000122070312,1015.7000122070312,1836549.0
2025-07-01,ADANIPORTS,1450.300048828125,1459.800048828125,1442.0,1447.0,2134736.0
2025-07-01,ADANIPOWER,117.68000030517578,121.4000015258789,117.30000305175781,118.27999877929688,40265290.0
2025-07-01,AEGISLOG,773.7728941272218,783.6434707195754,724.2712450145447,738.6058959960938,2010055.0
2025-07-01,AEGISVOPAK,245.99000549316406,251.8000030517578,242.66000366210938,244.02999877929688,994302.0
2025-07-01,AFCONS,435.3696839895587,438.30198052458275,427.46741389301,430.79730224609375,417101.0
2025-07-01,AFFLE,1998.300048828125,2025.0,1952.0,1963.4000244140625,206381.0
2025-07-01,AGARWALEYE,407.6000061035156,418.0,398.70001220703125,404.20001220703125,360997.0
2025-07-01,AIAENG,3299.7423158242714,3322.7222283162823,3272.882791396398,3279.6474609375,23725.0
2025-07-01,AIIL,2617.10009765625,2619.0,2485.0,2492.39990234375,200019.0
2025-07-01,AJANTPHARM,2590.0,2605.0,2494.0,2502.699951171875,222786.0
2025-07-01,AKUMS,588.5,590.7999877929688,572.4000244140625,576.0,208343.0
2025-07-01,AKZOINDIA,3238.8505028498107,3276.2718071704653,3217.4804156889654,3247.303466796875,57103.0
2025-07-01,ALKEM,4933.884885052008,4936.879958838968,4812.085217715638,4841.03759765625,220023.0
2025-07-01,ALKYLAMINE,2370.0,2385.0,2292.300048828125,2302.800048828125,92049.0
2025-07-01,ALOKINDS,20.440000534057617,20.540000915527344,19.950000762939453,20.229999542236328,7567325.0
2025-07-01,AMBER,6800.0,7110.0,6722.0,7083.0,719035.0
2025-07-01,AMBUJACEM,582.0,587.7999877929688,578.5999755859375,580.25,2877528.0
2025-07-01,ANANDRATHI,2165.8043811465,2170.794713821953,2083.4638920015295,2104.523193359375,191721.0
2025-07-01,ANANTRAJ,569.3147295400967,580.1017332758693,562.3730728384364,564.2708129882812,2052555.0
