symbol,date,open,high,low,close,volume
ABB.NS,2024-11-11,6983.938419001695,7210.271496880957,6939.644076901811,7180.1630859375,408263.0
ABB.NS,2024-11-12,7237.94908320377,7250.548142897628,6880.022439956323,6908.79150390625,547081.0
ABB.NS,2024-11-13,6884.735056095634,6943.265224439962,6727.993249343024,6747.833984375,509564.0
ABB.NS,2024-11-14,6753.786095070758,6779.727758824677,6577.054847525601,6626.9541015625,599381.0
ABB.NS,2024-11-18,6646.993066782507,6691.7340179362645,6552.402272450757,6573.1357421875,327357.0
ABB.NS,2024-11-19,6619.1170237445485,6734.341992219917,6573.532742574424,6648.2333984375,415057.0
ABB.NS,2024-11-21,6648.233628674288,6775.611051415277,6562.819167004065,6706.9619140625,337186.0
ABB.NS,2024-11-22,6720.999147926623,6883.742572710037,6707.259342929863,6849.666015625,254886.0
ABB.NS,2024-11-25,7033.540547315397,7241.818856433487,6994.851114121419,7202.0380859375,745341.0
ABB.NS,2024-11-26,7241.867859427338,7331.151161803839,7192.712635042775,7271.33154296875,456499.0
ABB.NS,2024-11-27,7271.3317453805275,7480.056174534597,7258.23666691028,7436.505859375,475285.0
ABB.NS,2024-11-28,7460.116190182766,7460.116190182766,7282.244198713906,7335.962890625,358113.0
ABB.NS,2024-11-29,7375.792848345123,7412.448798087005,7316.270646475492,7362.15234375,191937.0
ABB.NS,2024-12-02,7319.2469799992905,7449.154383302534,7281.598992410323,7431.09912109375,353136.0
ABB.NS,2024-12-03,7473.012305772233,7574.20004706903,7420.48376984188,7477.52587890625,339612.0
ABB.NS,2024-12-04,7514.678100202328,7661.003515354782,7514.678100202328,7603.16796875,395551.0
ABB.NS,2024-12-05,7589.080806818201,7620.825981434958,7360.912364260269,7428.767578125,424954.0
ABB.NS,2024-12-06,7479.956654403172,7513.685901916396,7430.354819824902,7492.2578125,228818.0
ABB.NS,2024-12-09,7515.620547791469,7579.1603039647935,7472.565767974511,7509.4697265625,209644.0
ABB.NS,2024-12-10,7575.192711802961,7648.603432163544,7509.916886644919,7631.98681640625,265407.0
ABB.NS,2024-12-11,7641.6586683623445,7724.98975081625,7589.0807234807135,7667.20361328125,173332.0
ABB.NS,2024-12-12,7682.33200128711,7693.244404698029,7573.4559763463485,7596.07421875,118184.0
